char_no	character	location	singular/plural
72148	Anne	Uppercross	singular
72148	Mr Musgrove	Uppercross	singular
72148	Ms Musgrove	Uppercross	singular
72487	young ladies	Uppercross	plural
72625	Mary	Uppercross	singular
72860	Mr Musgroves	Uppercross	plural
73001	females	Uppercross	plural
73704	Anne	Uppercross/Cottage/the Cottage	singular
73704	Mary	Uppercross/Cottage/the Cottage	singular
73868	children	Uppercross/Cottage/the Cottage	plural
83555	The Crofts	Kellynch	plural
84206	Mrs Croft	Uppercross	singular
84206	Admiral	Uppercross	singular
84206	little boys	Uppercross	plural
84206	two sisters	Uppercross	plural
87340	youngest miss Musgrove	Uppercross/Cottage/the Cottage	singular
87340	Mary	Uppercross/Cottage/the Cottage	singular
91606	the folks of the Great House	Uppercross/Cottage/the Cottage	plural
91606	Anne	Uppercross/Cottage/the Cottage	singular
